ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
62.1.12.3.0,,Unit,Water Heater,"Gas shutoff valve is damaged, missing, or not installed.","Gas shutoff valve is damaged (i.e., visibly defective; impacts functionality).
OR
Gas shutoff valve is missing (i.e., evidence of prior installation, but is now not present or is incomplete).
OR
Gas shutoff valve is not installed (i.e., never installed, but should have been).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at the water heater to determine if the gas shutoff valve is damaged, missing, or not installed.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",NONE,NONE,NONE,Flashlight; Inspection mirror
62.2.13.3.0,,Inside,Water Heater,"Gas shutoff valve is damaged, missing, or not installed.","Gas shutoff valve is damaged (i.e., visibly defective; impacts functionality).
OR
Gas shutoff valve is missing (i.e., evidence of prior installation, but is now not present or is incomplete).
OR
Gas shutoff valve is not installed (i.e., never installed, but should have been).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at the water heater to determine if the gas shutoff valve is damaged, missing, or not installed.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the POA.",NONE,NONE,NONE,Flashlight; Inspection mirror
62.3.14.3.0,,Outside,Water Heater,"Gas shutoff valve is damaged, missing, or not installed.","Gas shutoff valve is damaged (i.e., visibly defective; impacts functionality).
OR
Gas shutoff valve is missing (i.e., evidence of prior installation, but is now not present or is incomplete).
OR
Gas shutoff valve is not installed (i.e., never installed, but should have been).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at the water heater to determine if the gas shutoff valve is damaged, missing, or not installed.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the POA.",NONE,NONE,NONE,Flashlight; Inspection mirror
63.1.1.3.0,,Unit,Window,Window will not open or stay open.,"Window will not open.
OR
Once opened, window will not stay open without the use of a tool or item.",Moderate,30 days,Fail,30 days,"1. Once opened, determine if the window will stay open without the use of a tool or item.",NONE,"1. Unlock and open the window fully by lifting, sliding, or cranking.
2. Step back from the window.
3. Following evaluation, close and lock the window.","1. If the window is not designed to open, then disregard this deficiency. 
2. If a permanently installed window-mounted air conditioner is present, then disregard this deficiency. 
3. If the window serves as a rescue opening, then it should be evaluated under the Egress standard.",NONE,NONE
63.2.2.3.0,,Inside,Window,Window will not open or stay open.,"Window will not open.
OR
Once opened, window will not stay open without the use of a tool or item.",Low,60 days,Pass,N/A,"1. Once opened, determine if the window will stay open without the use of a tool or item.",NONE,"1. Unlock and open the window fully by lifting, sliding, or cranking.
2. Step back from the window.
3. Following evaluation, close and lock the window.","1. If the window is not designed to open, then disregard this deficiency. 
2. If a permanently installed window-mounted air conditioner is present, then disregard this deficiency. 
3. If the window serves as a rescue opening, then it should be evaluated under the Egress standard.",NONE,NONE
63.1.3.3.0,,Unit,Window,Window cannot be secured.,"Window cannot be secured (i.e., access controlled) by at least 1 installed lock.",Moderate,30 days,Fail,30 days,1. Visually inspect each window to determine if a lock is present.,NONE,"1. With the window closed, engage the lock.","1. Examples of window locks that are not acceptable include: 
- Stick/wooden dowel
- Other devices that are not attached to the window assembly
2. If the window is not designed to have a lock, then it should not be evaluated under this deficiency.
3. If a permanently installed window-mounted air conditioner is present, then disregard this deficiency.",NONE,NONE
63.2.4.3.0,,Inside,Window,Window cannot be secured.,"Window cannot be secured (i.e., access controlled) by at least 1 installed lock.",Low,60 days,Pass,N/A,1. Visually inspect each window to determine if a lock is present.,NONE,"1. With the window closed, engage the lock.","1. Examples of window locks that are not acceptable include: 
- Stick/wooden dowel
- Other devices that are not attached to the window assembly
2. If the window is not designed to have a lock, then it should not be evaluated under this deficiency.
3. If a permanently installed window-mounted air conditioner is present, then disregard this deficiency.",NONE,NONE
63.1.5.3.0,,Unit,Window,Window will not close.,The window will not close.,Severe,24 hours,Fail,30 days,NONE,NONE,1. Open the window and attempt to close.,"1. If a permanently installed window-mounted air conditioner is present, then disregard this deficiency.",NONE,NONE
63.2.6.3.0,,Inside,Window,Window will not close.,The window will not close.,Moderate,30 days,Fail,30 days,NONE,NONE,1. Open the window and attempt to close.,"1. If a permanently installed window-mounted air conditioner is present, then disregard this deficiency.",NONE,NONE
63.1.7.3.0,,Unit,Window,Window component is damaged or missing and the window is not functionally adequate.,"Any portion of a visually accessible (i.e., can be reasonably accessed and observed) window component is damaged (i.e., visibly defective) and the window is not functionally adequate (i.e., cannot protect from the elements, bugs, or debris, permit illumination within the interior space, or permit visual access between spaces). 
OR
Any portion of a visually accessible (i.e., can be reasonably accessed and observed) window component is missing (i.e., evidence of prior installation, but is now not present or is incomplete) and the window is not functionally adequate (i.e., cannot protect from the elements, bugs, or debris, permit illumination within the interior space, or permit visual access between spaces). 
OR
A visually accessible (i.e., can be reasonably accessed and observed) window screen has a hole, tear, or cut that is 1 inch or greater. ",Moderate,30 days,Fail,30 days,"1. Visually inspect each window to determine if any component is damaged or missing.
2. Visually inspect each window to determine if the window screen has a hole, tear, or cut. ",NONE,"1. If present, measure the hole, tear, or cut on the window screen.","1. Examples of damaged or missing components that may impact the window’s functional adequacy may include, but are not limited to: 
- Weather stripping or seal
- Sill
- Pane or sash
- Framing or casing
2. Condensation that is present due to a failed window seal should not be evaluated.",Distance measuring device,NONE
63.2.8.3.0,,Inside,Window,Window component is damaged or missing and the window is not functionally adequate.,"Any portion of a visually accessible (i.e., can be reasonably accessed and observed) window component is damaged (i.e., visibly defective) and the window is not functionally adequate (i.e., cannot protect from the elements, bugs, or debris, permit illumination within the interior space, or permit visual access between spaces). 
OR
Any portion of a visually accessible (i.e., can be reasonably accessed and observed) window component is missing (i.e., evidence of prior installation, but is now not present or is incomplete) and the window is not functionally adequate (i.e., cannot protect from the elements, bugs, or debris, permit illumination within the interior space, or permit visual access between spaces). 
OR
A visually accessible (i.e., can be reasonably accessed and observed) window screen has a hole, tear, or cut that is 1 inch or greater. ",Moderate,30 days,Fail,30 days,"1. Visually inspect each window to determine if any component is damaged or missing.
2. Visually inspect each window to determine if the window screen has a hole, tear, or cut. ",NONE,"1. If present, measure the hole, tear, or cut on the window screen.","1. Examples of damaged or missing components that may impact the window’s functional adequacy may include, but are not limited to: 
- Weather stripping or seal
- Sill
- Pane or sash
- Framing or casing
2. Condensation that is present due to a failed window seal should not be evaluated.",Distance measuring device,NONE
